measurement_date,ndvi
2003-01-01,2878.8712775914137
2003-01-17,2757.599240075919
2003-02-02,2835.552539016576
2003-02-18,2850.578594200553
2003-03-06,2749.396429857586
2003-03-22,3045.465490320719
2003-04-07,3126.5674892998923
2003-04-23,3287.895357991993
2003-05-09,3205.8587528132334
2003-05-25,3396.4019429603413
2003-06-10,3507.5196011645226
2003-06-26,3527.512299591624
2003-07-12,3483.527001529592
2003-07-28,3396.412129423534
2003-08-13,3246.0165768707034
2003-08-29,3557.391642105263
2003-09-14,3564.578461905016
2003-09-30,3446.649409466588
2003-10-16,3327.0424756776715
2003-11-01,2963.1809810369255
2003-11-17,3071.7226445966917
2003-12-03,2802.6909757092526
2003-12-19,2729.2611380888493
2004-01-01,2653.152342916949
2004-01-17,2704.816724155828
2004-02-02,2610.2099778152183
2004-02-18,2522.411863726748
2004-03-05,2564.9143128766905
2004-03-21,2985.079738900451
2004-04-06,3409.7500157147665
2004-04-22,3599.926764216101
2004-05-08,3306.108226650474
2004-05-24,3424.833384270683
2004-06-09,3403.4347492281076
2004-06-25,3839.146503092616
2004-07-11,3792.5356868820377
2004-07-27,3844.307018645628
2004-08-12,4068.2983662098395
2004-08-28,4012.3748728637365
2004-09-13,3696.3962819477338
2004-09-29,3742.6797552275943
2004-10-15,3616.896647369142
2004-10-31,3543.5212773578455
2004-11-16,3420.187541099058
2004-12-02,3160.30626472597
2004-12-18,2942.7340977457297
2005-01-01,2966.086025157728
2005-01-17,2854.6154951112226
2005-02-02,2911.70556140361
2005-02-18,2933.1004065321868
2005-03-06,3032.673477705298
2005-03-22,3239.6944424715384
2005-04-07,3413.88635883272
2005-04-23,3712.6675969076464
2005-05-09,3833.7151460283376
2005-05-25,3772.794105433161
2005-06-10,3911.489749490817
2005-06-26,3713.5267426577457
2005-07-12,3680.390528105688
2005-07-28,3643.4196569314495
2005-08-13,4087.4528933734023
2005-08-29,4043.891103815668
2005-09-14,3823.051130292518
2005-09-30,3651.158691794135
2005-10-16,3581.8731904267042
2005-11-01,3273.9377563450903
2005-11-17,3058.3819398291785
2005-12-03,2829.8729528774193
2005-12-19,2776.843746466253
2006-01-01,2665.548488002271
2006-01-17,2612.2812129758686
2006-02-02,2553.6290313360914
2006-02-18,2538.8057623885584
2006-03-06,2574.7433284730523
2006-03-22,2661.29454298799
2006-04-07,2907.5588827712163
2006-04-23,3155.990486700948
2006-05-09,3316.446268658712
2006-05-25,3194.6464120492114
2006-06-10,3199.1130672874697
2006-06-26,3305.360064019017
2006-07-12,3324.448404957906
2006-07-28,3443.4024695533585
2006-08-13,3691.5758397202994
2006-08-29,3946.684873946792
2006-09-14,4005.4094712771584
2006-09-30,3708.123136093283
2006-10-16,3610.9584512369747
2006-11-01,3381.5663233124524
2006-11-17,3132.353421047733
2006-12-03,2928.89087223273
2006-12-19,3056.8477106894047
2007-01-01,3000.8330368235997
2007-01-17,3109.400693798547
2007-02-02,2797.863321484899
2007-02-18,2633.69307527342
2007-03-06,2682.2878475441726
2007-03-22,3509.7608024930073
2007-04-07,3584.772980460346
2007-04-23,3731.4835371789354
2007-05-09,3925.109020366189
2007-05-25,4043.763529698079
2007-06-10,3966.547056273047
2007-06-26,3582.089345323424
2007-07-12,3832.9577673131353
2007-07-28,4133.792152979649
2007-08-13,3864.3030812458796
2007-08-29,3885.3445142526307
2007-09-14,3994.5815304054668
2007-09-30,3725.288750241563
2007-10-16,3418.6285870232473
2007-11-01,3138.250887762942
2007-11-17,3046.519558143022
2007-12-03,2952.584171865811
2007-12-19,2783.517530841935
2008-01-01,2710.8302843572087
2008-01-17,2695.544466667578
2008-02-02,2585.217113445234
2008-02-18,2543.1204420884906
2008-03-05,2537.4960593907517
2008-03-21,2631.599938606743
2008-04-06,2997.302288731138
2008-04-22,3189.550502127321
2008-05-08,3345.2517747501442
2008-05-24,3315.0081381282307
2008-06-09,3272.0849922478546
2008-06-25,3417.7398065020457
2008-07-11,3678.8030579053193
2008-07-27,3608.796896290639
2008-08-12,3634.6039812681206
2008-08-28,4111.580944663305
2008-09-13,4070.855548149194
2008-09-29,3695.7827378863844
2008-10-15,3636.200362505664
2008-10-31,3216.6501047208394
2008-11-16,3012.270986027679
2008-12-02,2825.506094796084
2008-12-18,2759.541936186268
2009-01-01,2677.6879870797616
2009-01-17,2537.318582728103
2009-02-02,2480.714476156196
2009-02-18,2463.345221002474
2009-03-06,2534.5478975827573
2009-03-22,2771.3979511454536
2009-04-07,2784.8527986770932
2009-04-23,2772.8699726129553
2009-05-09,3480.7314924314096
2009-05-25,3696.282823669427
2009-06-10,3682.4475467301386
2009-06-26,3667.613320128345
2009-07-12,3584.723982922344
2009-07-28,3879.608493125394
2009-08-13,3587.5031541491408
2009-08-29,3351.0609459222314
2009-09-14,3670.233260236784
2009-09-30,3530.1442448453467
2009-10-16,3424.387724890332
2009-11-01,3236.7174201828025
2009-11-17,3096.6002998894
2009-12-03,2943.58337816737
2009-12-19,2846.2562332266593
2010-01-01,2864.1501144591275
2010-01-17,2801.404679165545
2010-02-02,2835.7998104065728
2010-02-18,2585.3919855143945
2010-03-06,2643.414085123987
2010-03-22,2760.2659419846455
2010-04-07,3072.97090390333
2010-04-23,3576.6666428606254
2010-05-09,3466.2892085921158
2010-05-25,3741.7175047527244
2010-06-10,3738.4464452856773
2010-06-26,3720.645452171229
2010-07-12,4020.4581281672718
2010-07-28,4073.127299420108
2010-08-13,3968.8091497759283
2010-08-29,3804.3698697468667
2010-09-14,3782.93928909277
2010-09-30,3663.610415838425
2010-10-16,3450.8496256034255
2010-11-01,3212.95373463997
2010-11-17,3056.64512040183
2010-12-03,2856.6458588571977
2010-12-19,2877.82847006076
2011-01-01,2807.092694302078
2011-01-17,2647.361291350792
2011-02-02,2523.503203841235
2011-02-18,2557.6414800128855
2011-03-06,2587.7486698809207
2011-03-22,2748.4601639706816
2011-04-07,2891.1812081348908
2011-04-23,2984.1970573755834
2011-05-09,2982.8729606981246
2011-05-25,2970.0790927047733
2011-06-10,3005.908954219866
2011-06-26,3012.1709547479027
2011-07-12,3037.7564706907297
2011-07-28,3133.436755476875
2011-08-13,3116.012187587906
2011-08-29,3121.643361158814
2011-09-14,3137.1085534822114
2011-09-30,3018.3919377804837
2011-10-16,2986.0816494410187
2011-11-01,2959.9645970049273
2011-11-17,2906.2308571194676
2011-12-03,2909.77862122894
2011-12-19,2873.0228849370505
2012-01-01,2760.8466771549283
2012-01-17,2700.0209574486753
2012-02-02,2716.6041788185053
2012-02-18,2806.8076904824147
2012-03-05,2761.998984025489
2012-03-21,3210.335666761503
2012-04-06,3392.96438846781
2012-04-22,3395.2875086033478
2012-05-08,3397.3965560562942
2012-05-24,3326.180248811387
2012-06-09,3209.1144137889064
2012-06-25,3039.259108426991
2012-07-11,3256.850410836039
2012-07-27,3254.385119881431
2012-08-12,3219.2100156271313
2012-08-28,3319.779300177152
2012-09-13,3365.2230905835727
2012-09-29,3334.1700919065706
2012-10-15,3299.67925932394
2012-10-31,3137.073226369674
2012-11-16,2988.5588918557896
2012-12-02,2851.670168806759
2012-12-18,2763.9608206665266
2013-01-01,2778.059057412819
2013-01-17,2629.7858028139512
2013-02-02,2653.5092627697886
2013-02-18,2671.467276533358
2013-03-06,2617.747690554095
2013-03-22,2740.5232390553824
2013-04-07,2948.2938329503086
2013-04-23,3018.8038649651216
2013-05-09,3162.8344212191073
2013-05-25,3104.5226180422997
2013-06-10,3228.6084061603533
2013-06-26,3239.962046334083
2013-07-12,3175.502788523781
2013-07-28,3652.091624905225
2013-08-13,3738.2620093483033
2013-08-29,3545.310305209468
2013-09-14,3802.167278585904
2013-09-30,3676.169841845434
2013-10-16,3543.3881339549694
2013-11-01,3392.8571328415824
2013-11-17,3128.188595670884
2013-12-03,3038.4700067807385
2013-12-19,2929.7740392318824
2014-01-01,2751.1794834468737
2014-01-17,2661.8260088393013
2014-02-02,2672.4478842709204
2014-02-18,2615.9706974565893
2014-03-06,2628.4156358670684
2014-03-22,2743.667365325393
2014-04-07,2912.601440872624
2014-04-23,3030.678193001078
2014-05-09,3121.333948937426
2014-05-25,3154.4170202067385
2014-06-10,3552.544608440444
2014-06-26,3636.8710655106615
2014-07-12,3658.178552554014
2014-07-28,3797.651884694698
2014-08-13,3768.186912863141
2014-08-29,3589.072547784107
2014-09-14,3824.4826781979004
2014-09-30,3688.8160997140208
2014-10-16,3504.4915484181124
2014-11-01,3409.9594032007208
2014-11-17,3020.5720298575943
2014-12-03,2906.9641357832356
2014-12-19,2834.8928729093614
2015-01-01,2790.858153727321
2015-01-17,2692.1891378441564
2015-02-02,2693.1951106807137
2015-02-18,2730.7980580959
2015-03-06,2703.0720610684816
2015-03-22,3037.460039891838
2015-04-07,3489.857819184701
2015-04-23,3733.3507591986217
2015-05-09,3607.6476976200706
2015-05-25,4134.2838962310325
2015-06-10,4182.252360869359
2015-06-26,4062.1059757930543
2015-07-12,4265.298369501199
2015-07-28,4188.14710610611
2015-08-13,3973.9179850166443
2015-08-29,3895.4590697556478
2015-09-14,3669.4538829423823
2015-09-30,3492.4866630802094
2015-10-16,3421.8108863434654
2015-11-01,3441.9126219235964
2015-11-17,3279.976797698054
2015-12-03,3128.452916554178
2015-12-19,3199.0777321019177
2016-01-01,3244.88556253974
2016-01-17,2947.620272531046
2016-02-02,2889.805931877742
2016-02-18,2915.3787956655774
2016-03-05,3010.131868893855
2016-03-21,3179.179944316662
2016-04-06,3392.865722519602
2016-04-22,3661.687838549719
2016-05-08,3686.1871232253866
2016-05-24,3903.146841002905
2016-06-09,3979.7587219059087
2016-06-25,3961.711328337309
2016-07-11,3716.0630506784146
2016-07-27,3741.243293443908
2016-08-12,3766.78758538783
2016-08-28,4110.71930626752
2016-09-13,4060.8219072919733
2016-09-29,3823.066113701035
2016-10-15,3564.782925160476
2016-10-31,3479.159946914762
2016-11-16,3313.7495189827027
2016-12-02,3010.4382533192907
2016-12-18,2932.0226867386114
2017-01-01,3000.421106083952
2017-01-17,2840.091831691745
2017-02-02,2720.4329850631716
2017-02-18,2833.215489551305
2017-03-06,2952.421176285271
2017-03-22,3245.1043099745493
2017-04-07,3432.9710401482566
2017-04-23,3817.801540060168
2017-05-09,3648.8853850269466
2017-05-25,3674.0273037089883
2017-06-10,3609.402817933129
2017-06-26,3700.0358223670887
2017-07-12,3818.997971048777
2017-07-28,3898.9077571854186
2017-08-13,4225.139257433195
2017-08-29,4084.8803387084877
2017-09-14,3731.8685081062545
2017-09-30,3976.5960526444605
2017-10-16,3653.720395178324
2017-11-01,3347.1748579054974
2017-11-17,3167.415281130669
2017-12-03,3048.5922142289724
2017-12-19,2965.342916122829
2018-01-01,2798.5701711573856
